"TIME","CH1","CH2","CH3","CH4","MATH"
-9.614e-04,0.169,-0.01,-0.212,-0.076,1
-9.612e-04,0.168,-0.004,-0.208,-0.088,1
-9.610e-04,0.168,-0.006,-0.22,-0.076,1
-9.608e-04,0.171,-0.012,-0.216,-0.08,1
-9.606e-04,0.175,-0.012,-0.216,-0.084,1
-9.604e-04,0.17,-0.012,-0.214,-0.084,1
-9.602e-04,0.17,-0.014,-0.216,-0.092,1
-9.600e-04,0.171,-0.01,-0.212,-0.084,1
-9.598e-04,0.171,-0.012,-0.214,-0.084,1
-9.596e-04,0.172,-0.02,-0.218,-0.092,1
-9.594e-04,0.172,-0.02,-0.212,-0.084,1
-9.592e-04,0.17,-0.014,-0.216,-0.08,1
-9.590e-04,0.17,-0.008,-0.22,-0.076,1
-9.588e-04,0.167,-0.014,-0.218,-0.08,1
-9.586e-04,0.173,-0.016,-0.214,-0.092,1
-9.584e-04,0.167,-0.004,-0.214,-0.072,1
-9.582e-04,0.168,-0.01,-0.214,-0.072,1
-9.580e-04,0.169,-0.02,-0.212,-0.088,1
-9.578e-04,0.168,-0.01,-0.218,-0.076,1
-9.576e-04,0.172,-0.016,-0.218,-0.08,1
-9.574e-04,0.166,-0.01,-0.216,-0.072,1
-9.572e-04,0.169,-0.006,-0.22,-0.08,1
-9.570e-04,0.168,-0.014,-0.216,-0.076,1
-9.568e-04,0.169,-0.01,-0.218,-0.076,1
-9.566e-04,0.173,-0.012,-0.214,-0.076,1
-9.564e-04,0.17,-0.008,-0.216,-0.08,1
-9.562e-04,0.167,-0.014,-0.222,-0.084,1
-9.560e-04,0.17,-0.008,-0.218,-0.08,1
-9.558e-04,0.168,-0.006,-0.218,-0.08,1
-9.556e-04,0.172,-0.012,-0.22,-0.08,1
-9.554e-04,0.168,-0.016,-0.214,-0.068,1
-9.552e-04,0.17,-0.016,-0.22,-0.08,1
-9.550e-04,0.17,-0.018,-0.216,-0.084,1
-9.548e-04,0.168,-0.02,-0.214,-0.088,1
-9.546e-04,0.171,-0.018,-0.218,-0.08,1
-9.544e-04,0.171,-0.01,-0.218,-0.092,1
-9.542e-04,0.17,-0.02,-0.206,-0.076,1
-9.540e-04,0.17,-0.012,-0.216,-0.08,1
-9.538e-04,0.172,-0.018,-0.216,-0.092,1
-9.536e-04,0.171,-0.012,-0.212,-0.08,1
-9.534e-04,0.168,-0.016,-0.218,-0.076,1
-9.532e-04,0.172,-0.012,-0.22,-0.088,1
-9.530e-04,0.172,-0.014,-0.214,-0.084,1
-9.528e-04,0.17,-0.018,-0.214,-0.072,1
-9.526e-04,0.169,-0.014,-0.22,-0.08,1
-9.524e-04,0.169,-0.012,-0.21,-0.08,1
-9.522e-04,0.168,-0.01,-0.22,-0.076,1
-9.520e-04,0.17,-0.014,-0.226,-0.076,1
-9.518e-04,0.173,-0.004,-0.208,-0.092,1
-9.516e-04,0.169,-0.012,-0.216,-0.072,1
-9.514e-04,0.17,-0.012,-0.22,-0.068,1
-9.512e-04,0.17,-0.012,-0.214,-0.064,1
-9.510e-04,0.172,-0.018,-0.218,-0.076,1
-9.508e-04,0.17,-0.01,-0.212,-0.072,1
-9.506e-04,0.169,-0.014,-0.212,-0.084,1
-9.504e-04,0.172,-0.01,-0.216,-0.072,1
-9.502e-04,0.171,-0.014,-0.218,-0.076,1
-9.500e-04,0.168,-0.01,-0.22,-0.076,1
-9.498e-04,0.168,-0.012,-0.21,-0.088,1
-9.496e-04,0.171,-0.006,-0.212,-0.084,1
-9.494e-04,0.172,-0.008,-0.22,-0.088,1
-9.492e-04,0.172,-0.012,-0.22,-0.072,1
-9.490e-04,0.171,-0.014,-0.218,-0.088,1
-9.488e-04,0.172,-0.022,-0.218,-0.092,1
-9.486e-04,0.172,-0.01,-0.212,-0.084,1
-9.484e-04,0.171,-0.008,-0.226,-0.068,1
-9.482e-04,0.173,-0.004,-0.216,-0.084,1
-9.480e-04,0.173,-0.016,-0.214,-0.084,1
-9.478e-04,0.171,-0.016,-0.22,-0.076,1
-9.476e-04,0.171,-0.018,-0.21,-0.084,1
-9.474e-04,0.176,-0.012,-0.218,-0.076,1
-9.472e-04,0.171,-0.012,-0.212,-0.084,1
-9.470e-04,0.169,-0.012,-0.22,-0.076,1
-9.468e-04,0.171,-0.012,-0.23,-0.084,1
-9.466e-04,0.17,-0.004,-0.214,-0.08,1
-9.464e-04,0.168,-0.016,-0.206,-0.084,1
-9.462e-04,0.167,-0.018,-0.218,-0.068,1
-9.460e-04,0.168,-0.004,-0.214,-0.08,1
-9.458e-04,0.169,-0.018,-0.22,-0.076,1
-9.456e-04,0.167,-0.014,-0.218,-0.084,1
-9.454e-04,0.169,-0.016,-0.216,-0.088,1
-9.452e-04,0.165,-0.006,-0.218,-0.076,1
-9.450e-04,0.17,-0.01,-0.214,-0.092,1
-9.448e-04,0.169,-0.006,-0.214,-0.068,1
-9.446e-04,0.167,-0.012,-0.214,-0.088,1
-9.444e-04,0.168,-0.008,-0.218,-0.084,1
-9.442e-04,0.167,-0.016,-0.214,-0.084,1
-9.440e-04,0.17,-0.01,-0.218,-0.072,1
-9.438e-04,0.17,-0.014,-0.216,-0.068,1
-9.436e-04,0.169,-0.008,-0.218,-0.072,1
-9.434e-04,0.169,-0.012,-0.218,-0.072,1
-9.432e-04,0.172,-0.008,-0.216,-0.072,1
-9.430e-04,0.17,-0.016,-0.224,-0.076,1
-9.428e-04,0.17,-0.01,-0.208,-0.084,1
-9.426e-04,0.169,-0.004,-0.22,-0.068,1
-9.424e-04,0.169,-0.004,-0.218,-0.068,1
-9.422e-04,0.171,-0.01,-0.218,-0.076,1
-9.420e-04,0.174,-0.012,-0.216,-0.076,1
-9.418e-04,0.171,-0.01,-0.214,-0.08,1
-9.416e-04,0.173,-0.014,-0.218,-0.084,1
-9.414e-04,0.171,-0.016,-0.214,-0.08,1
-9.412e-04,0.171,-0.012,-0.21,-0.068,1
-9.410e-04,0.168,-0.01,-0.218,-0.08,1
-9.408e-04,0.171,-0.014,-0.226,-0.076,1
-9.406e-04,0.167,-0.004,-0.204,-0.072,1
-9.404e-04,0.169,-0.008,-0.22,-0.08,1
-9.402e-04,0.169,-0.008,-0.216,-0.076,1
-9.400e-04,0.17,-0.01,-0.21,-0.08,1
-9.398e-04,0.168,-0.012,-0.212,-0.088,1
-9.396e-04,0.17,-0.006,-0.216,-0.076,1
-9.394e-04,0.173,-0.006,-0.214,-0.08,1
-9.392e-04,0.171,-0.008,-0.218,-0.076,1
-9.390e-04,0.169,-0.02,-0.226,-0.076,1
-9.388e-04,0.169,-0.008,-0.214,-0.076,1
-9.386e-04,0.17,-0.008,-0.216,-0.08,1
-9.384e-04,0.168,-0.004,-0.216,-0.072,1
-9.382e-04,0.169,-0.008,-0.21,-0.076,1
-9.380e-04,0.169,-0.014,-0.214,-0.088,1
-9.378e-04,0.171,-0.008,-0.216,-0.084,1
