"TIME","CH1","CH2","CH3","CH4","MATH"
-1.9184e-04,0.226,-0.002,0.226,-0.052,1
-1.9180e-04,0.224,0.002,0.224,-0.04,1
-1.9176e-04,0.227,0,0.23,-0.052,1
-1.9172e-04,0.223,0.004,0.234,-0.044,1
-1.9168e-04,0.224,0.002,0.234,-0.044,1
-1.9164e-04,0.221,0.004,0.232,-0.06,1
-1.9160e-04,0.224,0.002,0.224,-0.044,1
-1.9156e-04,0.224,0.004,0.23,-0.064,1
-1.9152e-04,0.224,0.004,0.234,-0.056,1
-1.9148e-04,0.223,-0.002,0.23,-0.056,1
-1.9144e-04,0.224,0.002,0.222,-0.052,1
-1.9140e-04,0.223,-0.006,0.228,-0.056,1
-1.9136e-04,0.223,-0.002,0.228,-0.052,1
-1.9132e-04,0.222,0.01,0.228,-0.052,1
-1.9128e-04,0.222,0,0.224,-0.052,1
-1.9124e-04,0.226,0.002,0.228,-0.064,1
-1.9120e-04,0.222,0.004,0.23,-0.052,1
-1.9116e-04,0.223,0,0.23,-0.052,1
-1.9112e-04,0.221,0.006,0.234,-0.048,1
-1.9108e-04,0.224,0.002,0.236,-0.056,1
-1.9104e-04,0.224,0.004,0.23,-0.064,1
-1.9100e-04,0.224,0,0.226,-0.04,1
-1.9096e-04,0.224,-0.002,0.234,-0.052,1
-1.9092e-04,0.223,0.002,0.232,-0.048,1
-1.9088e-04,0.224,0.002,0.24,-0.036,1
-1.9084e-04,0.225,0,0.228,-0.04,1
-1.9080e-04,0.225,0.002,0.234,-0.06,1
-1.9076e-04,0.223,-0.006,0.226,-0.052,1
-1.9072e-04,0.222,0.008,0.224,-0.048,1
-1.9068e-04,0.224,0.008,0.234,-0.06,1
-1.9064e-04,0.223,0.006,0.232,-0.048,1
-1.9060e-04,0.226,0,0.236,-0.06,1
-1.9056e-04,0.225,0.004,0.232,-0.056,1
-1.9052e-04,0.222,0.004,0.236,-0.056,1
-1.9048e-04,0.223,-0.004,0.232,-0.052,1
-1.9044e-04,0.224,0.004,0.226,-0.048,1
-1.9040e-04,0.222,0,0.232,-0.048,1
-1.9036e-04,0.224,0,0.228,-0.044,1
-1.9032e-04,0.222,-0.006,0.228,-0.044,1
-1.9028e-04,0.223,0.006,0.226,-0.06,1
-1.9024e-04,0.228,0.004,0.24,-0.048,1
-1.9020e-04,0.223,0.004,0.238,-0.056,1
-1.9016e-04,0.222,0.002,0.232,-0.048,1
-1.9012e-04,0.223,0,0.228,-0.052,1
-1.9008e-04,0.222,-0.004,0.23,-0.056,1
-1.9004e-04,0.226,-0.002,0.23,-0.056,1
-1.9000e-04,0.222,0.004,0.228,-0.04,1
-1.8996e-04,0.224,-0.002,0.226,-0.056,1
-1.8992e-04,0.223,-0.004,0.238,-0.052,1
-1.8988e-04,0.225,0.002,0.226,-0.048,1
-1.8984e-04,0.223,0.002,0.234,-0.052,1
-1.8980e-04,0.22,-0.002,0.23,-0.056,1
-1.8976e-04,0.224,0.002,0.226,-0.056,1
-1.8972e-04,0.225,0.004,0.232,-0.052,1
-1.8968e-04,0.225,-0.006,0.232,-0.052,1
-1.8964e-04,0.222,0.004,0.232,-0.052,1
-1.8960e-04,0.22,0.002,0.236,-0.048,1
-1.8956e-04,0.224,0.004,0.232,-0.04,1
-1.8952e-04,0.222,0.006,0.236,-0.056,1
-1.8948e-04,0.222,0.004,0.23,-0.072,1
